hid,family,id,N,mean,se,t,clusters,sd,p_one,p_two
S1::6e2cb22674b5,S1,6e2cb22674b5,2766,0.03508390447107939,0.024405551035257694,1.4375378953908937,180,1.2372556794475909,0.07528260656186381,0.15056521312372761
S1::9694c3cafd62,S1,9694c3cafd62,2144,0.028276053092857117,0.03274844830787597,0.8634318434579619,180,1.4488533702055226,0.19395003888005435,0.3879000777601087
S1::ba5e7da4ca9a,S1,ba5e7da4ca9a,2746,0.04359933630492929,0.02836872810224302,1.5368801924356292,180,1.4158321367800104,0.06216132543826047,0.12432265087652095
S1::b28c6f18119d,S1,b28c6f18119d,2138,0.03232266902719295,0.043618849467053376,0.7410252544970777,180,2.0392149703068205,0.2293390639573496,0.4586781279146992
S1::8ff0fd5512a8,S1,8ff0fd5512a8,2738,0.06023506272653123,0.039227193234048906,1.535543528876485,180,2.0581964991952533,0.06232518668846987,0.12465037337693974
S1::7319c1cef245,S1,7319c1cef245,2126,0.07488369048647729,0.04963130936709619,1.5087994139466032,180,2.240336394122083,0.06567502529081826,0.1313500505816365
S1::fdb4b02471d4,S1,fdb4b02471d4,2725,0.10468588291062252,0.045547315979895545,2.2983985040266823,180,2.3532943116464082,0.010769559292606035,0.02153911858521207
S1::2a2d529b4b50,S1,2a2d529b4b50,2092,-0.04528507776804504,0.027248278005623044,-1.6619427384989194,180,1.2656023536436147,0.9517378718613205,0.09652425627735894
S1::49d16f300d84,S1,49d16f300d84,2665,-0.06157258391317356,0.023890445436993944,-2.5772890704595013,180,1.2469381557355639,0.9950210682126918,0.009957863574616699
S1::d663f2a39e43,S1,d663f2a39e43,2074,-0.040921175529747555,0.03256582154478986,-1.2565681929278536,180,1.464284638398977,0.8955449808333217,0.20891003833335664
S1::8300a263d5e7,S1,8300a263d5e7,2642,-0.05785437183424072,0.028008211077184104,-2.0656218162169497,180,1.4295320558092208,0.9805678985842424,0.03886420283151515
S1::32cc6a432aca,S1,32cc6a432aca,2083,-0.06463983488682222,0.0331498706430587,-1.9499272133768415,180,1.4467707166983306,0.9744076024731045,0.05118479505379092
S1::ebd126f71502,S1,ebd126f71502,2644,-0.07568531880775972,0.027428941728234593,-2.7593233292646997,180,1.4047016272911557,0.9971039401940591,0.005792119611881752
