motif,mean_R,count,len
PwVb|R:ACCELLESSPART|ASVn,-0.4184711992950452,130,3
PSVB|R:ACCELMOREPART|ASVn,-0.4178779440925408,56,3
PSvb|R:DECELMOREPART,-0.41697151832876106,934,2
ASvB,-0.4162269527649805,7221,1
PSvb|R:DECELLESSPART,-0.4158219628668541,272,2
PSvb|R:DECELMOREPART|PwVb,-0.4156814348224732,37,3
R:ACCELLESSPART|PSVn|R:DECELLESSPART,-0.4152818836145859,838,3
R:DECELLESSPART|Awvn|R:DECELMOREPART,-0.4151826196384934,39,3
R:ACCELLESSPART|PwVn,-0.41503288816666706,261,2
PSVn|R:ACCELLESSPART|ASvB,-0.4150137679589399,615,3
PSvb,-0.414329396828037,2500,1
R:DECELLESSPART|PwVb,-0.4142227615484783,141,2
R:DECELLESSPART|Pwvn|R:ACCELLESSPART,-0.41353422946922175,611,3
R:ACCELMOREPART|PSVb|R:DECELMOREPART,-0.41348337439547456,576,3
R:DECELMOREPART|PSVb|R:DECELLESSPART,-0.41346906138038486,272,3
AwVb,-0.4134531388194889,411,1
PwvB,-0.4133615112386625,105,1
R:ACCELLESSPART|ASVn|R:ACCELLESSPART,-0.41310080486201917,723,3
AwVb|R:ACCELLESSPART|ASVn,-0.4128409575123823,101,3
PSVb|R:ACCELLESSPART|ASVn,-0.4123274534178644,248,3
R:ACCELMOREPART|ASvB,-0.41230734824405396,2633,2
ASVn|R:ACCELLESSPART|ASVB,-0.41189082017451994,179,3
R:DECELMOREPART|PwVB,-0.4115363936776005,222,2
PwVn|R:ACCELLESSPART|ASVn,-0.411479099515829,598,3
ASvn|R:DECELLESSPART|ASvB,-0.41096961776971924,67,3
R:ACCELMOREPART|PSVb|R:ACCELLESSPART,-0.41091438697254146,195,3
ASVn|R:ACCELLESSPART,-0.41002227740616803,2026,2
ASVb|R:ACCELMOREPART,-0.40985421711446124,160,2
AwVn|R:ACCELMOREPART|ASVB,-0.4098297239451014,99,3
R:ACCELMOREPART|PSVB|R:DECELMOREPART,-0.4093512075158713,105,3
R:ACCELMOREPART|ASvn,-0.4091564204746152,947,2
PSVB,-0.4089884301595725,865,1
PSVb|R:DECELLESSPART|PSVb,-0.4087053278380485,152,3
Awvn,-0.40860793064158246,2553,1
ASVn|R:DECELLESSPART,-0.40854934845812946,2539,2
AwVn|R:ACCELMOREPART|PSVB,-0.40757140901653693,25,3
R:ACCELLESSPART|ASVb|R:DECELLESSPART,-0.40729652598401805,142,3
Pwvn|R:ACCELLESSPART,-0.40694938456508345,1245,2
R:DECELMOREPART|PSVB,-0.4068820687749471,334,2
AwVn|R:ACCELLESSPART|ASVb,-0.40626232838246235,38,3
