sid,ent,side,net,mfe,mae,year,month,dow,hour,hb,sess,atr,atr_pct,volb,h1up,h4ctx,rloc24,retz,align
HTF_PBK_TREND,103386,-1,-1.0592896561482947,0.30260365077119283,-1.1029432573935138,2015,11,3,17,35,NY,2.616821428571419,0.9745,hi,False,TREND_DOWN,0.6676308054085835,-0.11941968855345268,ALIGN
HTF_PBK_TREND,103438,-1,-1.0751974156496753,0.256460875807579,-1.2826633165829169,2015,11,4,7,15,AS,1.0458928571428356,0.407,md,True,TREND_DOWN,0.6432719290933733,-2.5404131808094865,ALIGN
HTF_PBK_TREND,105309,-1,-1.3313562672993282,1.1107156979043893,-1.6354290233293687,2015,12,6,23,47,LT,0.9400357142857112,0.2265,lo,False,TREND_DOWN,0.6880051652398498,-1.0425135823107252,ALIGN
HTF_PBK_TREND,106820,1,-1.0889691050005321,0.16986941288883442,-1.299607176982711,2016,1,3,14,29,NY,2.111321428571419,0.861,hi,False,TREND_UP,0.4994617144395076,-1.7074614747027246,ALIGN
HTF_PBK_TREND,107033,1,-1.0929974475640887,1.0470536011541427,-1.6735101542559074,2016,1,1,2,5,AS,1.235928571428563,0.533,md,True,TREND_UP,0.5629060469765164,1.0526498295092848,ALIGN
HTF_PBK_TREND,108937,1,-1.0989023958456279,0.2526849994099006,-1.2773515873952999,2016,2,1,23,47,LT,1.689392857142853,0.602,md,False,TREND_UP,0.4485084752240665,-0.6463860643087428,ALIGN
HTF_PBK_TREND,109081,1,1.9089526292916097,2.0043459365494214,-0.14059104737069839,2016,2,3,12,25,LN,1.913499999999999,0.6225,md,False,TREND_UP,0.35273828229792575,-0.5220799581918077,ALIGN
HTF_PBK_TREND,109337,1,1.8094155105753895,2.085285421878555,-0.8016829656584361,2016,2,1,7,15,AS,1.9546785714285957,0.5965,md,False,TREND_UP,0.7368609309423899,-1.3884635764008957,ALIGN
HTF_PBK_TREND,109357,1,1.8117699910152643,3.327942497754048,-0.3200808625336479,2016,2,1,12,25,LN,1.8301071428570919,0.5415,md,False,TREND_UP,0.8014116749332307,0.0655699315027816,ALIGN
HTF_PBK_TREND,109693,1,1.8655543077169843,2.209529921386332,-0.3698058719717536,2016,2,0,4,9,AS,1.4450000000000014,0.2615,lo,False,TREND_UP,0.5099293109110068,0.2851211072663023,ALIGN
HTF_PBK_TREND,111049,1,-1.13509592132839,0.27422215057230837,-1.3000161212316435,2016,3,4,20,41,LT,1.749928571428573,0.4595,md,True,TREND_UP,0.38802973008214847,-0.187721947834649,ALIGN
HTF_PBK_TREND,113205,1,-1.0991012298959357,0.47421948912019535,-1.5732024597919103,2016,4,4,7,15,AS,2.0232499999999782,0.5755,md,True,TREND_UP,0.18635717669351054,0.6934387742493686,ALIGN
HTF_PBK_TREND,113557,1,1.9578428413321263,2.1402555589093235,-0.0487976657611554,2016,4,3,3,7,AS,2.375071428571443,0.821,hi,True,TREND_UP,0.6319504053409697,1.260383146371547,ALIGN
HTF_PBK_TREND,114813,1,-1.1411011954874593,1.6622326991076093,-1.3987203232868248,2016,5,1,18,37,NY,1.8046071428571264,0.635,md,True,TREND_UP,0.6064414177138969,-1.3063785153080931,ALIGN
HTF_PBK_TREND,116981,1,1.9160236496642935,2.2678625112737483,-0.8391622407054767,2016,6,0,12,25,LN,1.8281071428571392,0.7395,hi,False,TREND_UP,0.2311719600620806,-0.24260066032395763,ALIGN
HTF_PBK_TREND,120853,1,1.8591833305326841,2.1063686775331556,-0.22618047386993761,2016,8,2,18,37,NY,2.697285714285743,0.947,hi,True,TREND_UP,0.6528384279476035,0.4235739632435251,ALIGN
HTF_PBK_TREND,128200,-1,-1.2218104817363806,1.592112228692604,-1.0312334568554644,2016,12,3,4,9,AS,0.9223571428571599,0.064,lo,True,TREND_DOWN,0.767925299890951,0.6185239680941986,ALIGN
HTF_PBK_TREND,132396,1,-1.3988576868157807,0.7172774869109857,-1.3465016658734061,2017,2,0,23,47,LT,0.6682499999999924,0.016,lo,False,TREND_UP,0.4731289265228068,0.41750841750841683,ALIGN
HTF_PBK_TREND,132412,1,1.7515564779128407,2.037058997924696,-0.0,2017,2,1,3,7,AS,0.709928571428577,0.0235,lo,False,TREND_UP,0.5700851393188833,1.667069121641816,ALIGN
HTF_PBK_TREND,133428,1,-1.1075324008725762,0.0,-1.5889901193378186,2017,3,2,8,17,LN,1.3439999999999859,0.6225,md,False,TREND_UP,0.2520409444863117,1.5572916666665693,ALIGN
HTF_PBK_TREND,135528,1,-1.3454245671887979,0.1442704039570977,-1.2102225886233442,2017,4,0,3,7,AS,0.6612857142857008,0.1405,lo,False,TREND_UP,0.8207421503330147,0.16634262259652524,ALIGN
HTF_PBK_TREND,135564,1,1.803008932769154,2.556182416549246,-0.4889515749882401,2017,4,0,12,25,LN,0.9331428571428465,0.38675,md,False,TREND_UP,0.6196955280684991,0.3734690753213172,ALIGN
HTF_PBK_TREND,136012,1,-1.3362760834671306,0.008828250401258772,-1.6452648475121774,2017,4,0,9,19,LN,0.7300000000000182,0.1245,lo,False,TREND_UP,0.13157358336729907,0.08698630136982845,ALIGN
HTF_PBK_TREND,136048,1,1.1058104985144057,1.5975569494883377,-0.30703202377016753,2017,4,0,18,37,NY,1.4007499999999677,0.8005,hi,False,TREND_UP,0.6811163895486897,-0.36230590754965225,ALIGN
HTF_PBK_TREND,136076,1,1.8344200750839803,2.0250938549692736,-0.05433708753212465,2017,4,1,2,5,AS,0.9240357142856997,0.3645,md,False,TREND_UP,0.8495150435471215,-0.4134039346037143,ALIGN
HTF_PBK_TREND,139884,1,-1.0722413793103454,0.8360344827586549,-1.0089655172413634,2017,6,3,15,31,NY,2.57832142857142,0.991,hi,False,TREND_UP,0.25426329402481146,-2.3883756042830218,ALIGN
HTF_PBK_TREND,141100,-1,-1.1130751585481033,0.18958305221963762,-1.0636891107812985,2017,6,1,20,41,LT,1.0591785714285769,0.629,md,False,TREND_DOWN,0.4813178490280154,-1.413359409245769,ALIGN
HTF_PBK_TREND,141232,-1,0.19935587761677065,1.135909822866352,-0.1483091787439318,2017,6,3,7,15,AS,1.157785714285751,0.4285,md,True,TREND_DOWN,-0.14022860328963774,-4.034425319266791,ALIGN
