family,si,ei,dir,entry_worse_atr,R
A_sweep_reclaim,47134,47135,1,-0.0,2.0
A_sweep_reclaim,47385,47386,1,-0.0,-1.0
A_sweep_reclaim,47394,47395,1,-0.0,0.5184966187030192
A_sweep_reclaim,47539,47540,1,-0.0,-1.0
A_sweep_reclaim,47568,47569,1,-0.0,-1.0
A_sweep_reclaim,47582,47583,1,-0.0,-1.0
A_sweep_reclaim,47975,47976,-1,0.0,-1.0
A_sweep_reclaim,48130,48131,1,-0.0,0.1836383691321273
A_sweep_reclaim,48490,48491,-1,0.0,2.0
A_sweep_reclaim,48569,48570,1,-0.0,-1.0
A_sweep_reclaim,48799,48800,1,-0.0,-1.0
A_sweep_reclaim,48840,48841,1,-0.0,-1.0
A_sweep_reclaim,49045,49046,1,-0.0,-1.0
A_sweep_reclaim,49125,49126,1,-0.0,-1.0
A_sweep_reclaim,49242,49243,1,-0.0,2.0
A_sweep_reclaim,49388,49389,1,-0.0,2.0
A_sweep_reclaim,49500,49501,1,-0.0,-1.0
A_sweep_reclaim,49509,49510,1,-0.0,-1.0
A_sweep_reclaim,49655,49656,-1,0.0,-1.0
A_sweep_reclaim,49696,49697,1,-0.0,-1.0
A_sweep_reclaim,49741,49742,-1,0.0,-1.0
A_sweep_reclaim,49885,49886,1,-0.0,2.0
A_sweep_reclaim,49992,49993,-1,0.0,-1.0
A_sweep_reclaim,50279,50280,-1,0.0,-1.0
A_sweep_reclaim,50372,50373,1,-0.0,-1.0
A_sweep_reclaim,50499,50500,1,-0.0,-1.0
A_sweep_reclaim,50552,50553,1,-0.0,-1.0
A_sweep_reclaim,50787,50788,1,-0.0,-1.0
A_sweep_reclaim,50832,50833,1,-0.0,-1.0
A_sweep_reclaim,50918,50919,1,-0.0,-1.0
A_sweep_reclaim,51085,51086,1,-0.0,-1.0
A_sweep_reclaim,51191,51192,1,-0.0,-1.0
A_sweep_reclaim,51400,51401,1,-0.0,2.0
A_sweep_reclaim,51559,51560,-1,0.0,2.0
A_sweep_reclaim,51659,51660,1,-0.0,-1.0
A_sweep_reclaim,51696,51697,1,-0.0,2.0
A_sweep_reclaim,51823,51824,1,-0.0,-1.0
A_sweep_reclaim,51960,51961,1,-0.0,-1.0
A_sweep_reclaim,52000,52001,-1,0.0,2.0
A_sweep_reclaim,52254,52255,-1,0.0,-1.0
A_sweep_reclaim,52339,52340,1,-0.0,2.0
A_sweep_reclaim,52459,52460,-1,0.0,2.0
A_sweep_reclaim,52667,52668,-1,0.0,-1.0
A_sweep_reclaim,52731,52732,1,-0.0,-1.0
A_sweep_reclaim,52759,52760,1,-0.0,-0.17604155268240115
